name	source	postalcode	layer	lat	lon
LT70	geonames2d	70	postalcode	54.7082	23.0412
LT02	geonames2d	02	postalcode	54.6672	25.2769
LT13	geonames2d	13	postalcode	54.6636	25.4871
LT14	geonames2d	14	postalcode	54.7193	25.2681
LT11	geonames2d	11	postalcode	54.6852	25.3479
LT27	geonames2d	27	postalcode	54.6826	25.1875
LT01	geonames2d	01	postalcode	54.6824	25.2881
LT03	geonames2d	03	postalcode	54.6749	25.2602
LT04	geonames2d	04	postalcode	54.6826	25.2145
LT05	geonames2d	05	postalcode	54.714	25.2228
LT06	geonames2d	06	postalcode	54.7214	25.214
LT07	geonames2d	07	postalcode	54.7174	25.2501
LT08	geonames2d	08	postalcode	54.7192	25.2849
LT09	geonames2d	09	postalcode	54.705	25.2946
LT10	geonames2d	10	postalcode	54.703	25.3171
LT12	geonames2d	12	postalcode	54.7237	25.2465
LT15	geonames2d	15	postalcode	54.825	25.5083
LT31	geonames2d	31	postalcode	55.6	26.4167
LT32	geonames2d	32	postalcode	55.7056	26.0502
